City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-11-29 19:56:26,-46.1927,168.8643,56.48,77,97,3.78
1,Busselton,AU,2021-11-29 19:55:41,-33.65,115.3333,57.04,72,11,8.23
2,Hermanus,ZA,2021-11-29 19:56:26,-34.4187,19.2345,61.9,76,58,12.28
3,Ushuaia,AR,2021-11-29 19:52:47,-54.8,-68.3,42.46,75,75,21.85
4,Wairoa,NZ,2021-11-29 19:56:27,-39.0333,177.3667,71.55,71,100,1.99
5,Tiksi,RU,2021-11-29 19:56:27,71.6872,128.8694,-22.25,100,95,6.02
6,Vaini,TO,2021-11-29 19:55:32,-21.2,-175.2,78.96,73,40,10.36
7,Rikitea,PF,2021-11-29 19:52:46,-23.1203,-134.9692,76.42,76,1,22.15
8,Bayan,CN,2021-11-29 19:56:28,46.0833,127.4,14.31,96,100,2.13
9,Atuona,PF,2021-11-29 19:51:46,-9.8,-139.0333,78.39,78,32,23.33
10,Mounana,GA,2021-11-29 19:56:28,-1.4085,13.1586,70.5,97,88,1.05
11,Cabo San Lucas,MX,2021-11-29 19:56:02,22.8909,-109.9124,87.19,65,100,4.0
12,Lavrentiya,RU,2021-11-29 19:56:29,65.5833,-171.0,-11.25,92,7,8.68
13,Torbay,CA,2021-11-29 19:56:29,47.6666,-52.7314,45.68,81,78,6.71
14,Albany,US,2021-11-29 19:55:40,42.6001,-73.9662,33.17,69,97,5.01
15,Severo-Kurilsk,RU,2021-11-29 19:56:30,50.6789,156.125,32.99,82,97,33.89
16,Kavieng,PG,2021-11-29 19:55:38,-2.5744,150.7967,82.49,79,100,17.02
17,Yeppoon,AU,2021-11-29 19:56:31,-23.1333,150.7333,73.18,86,42,8.59
18,Tuktoyaktuk,CA,2021-11-29 19:55:34,69.4541,-133.0374,-14.8,76,75,19.57
19,Gien,FR,2021-11-29 19:56:31,47.6933,2.6309,36.45,98,37,6.42
20,Pevek,RU,2021-11-29 19:56:32,69.7008,170.3133,1.06,96,100,3.85
21,Saint-Philippe,RE,2021-11-29 19:55:35,-21.3585,55.7679,76.55,84,57,7.11
22,Bangassou,CF,2021-11-29 19:56:32,4.7413,22.8184,69.26,97,100,5.41
23,Caravelas,BR,2021-11-29 19:52:08,-17.7125,-39.2481,81.0,76,3,11.7
24,Richards Bay,ZA,2021-11-29 19:56:33,-28.783,32.0377,70.02,90,15,5.57
25,Cape Town,ZA,2021-11-29 19:52:36,-33.9258,18.4232,64.89,86,20,10.36
26,Punta Arenas,CL,2021-11-29 19:56:34,-53.15,-70.9167,50.11,50,40,31.07
27,Barrow,US,2021-11-29 19:55:37,71.2906,-156.7887,-18.26,98,96,7.31
28,Faanui,PF,2021-11-29 19:56:34,-16.4833,-151.75,80.22,77,100,12.37
29,Lebu,CL,2021-11-29 19:56:34,-37.6167,-73.65,58.6,75,77,18.32
30,Maniitsoq,GL,2021-11-29 19:56:35,65.4167,-52.9,32.67,96,100,16.73
31,Chiang Rai,TH,2021-11-29 19:56:35,19.9167,99.9167,62.58,100,21,0.0
32,Saint George,US,2021-11-29 19:54:10,37.1041,-113.5841,75.67,27,1,3.44
33,Winnemucca,US,2021-11-29 19:56:36,40.973,-117.7357,52.11,27,4,2.62
34,Bandarbeyla,SO,2021-11-29 19:56:36,9.4942,50.8122,78.03,71,16,18.72
35,Talnakh,RU,2021-11-29 19:56:37,69.4865,88.3972,-18.89,98,99,6.85
36,Khatanga,RU,2021-11-29 19:56:37,71.9667,102.5,-28.57,100,95,5.32
37,Ponta Do Sol,PT,2021-11-29 19:56:37,32.6667,-17.1,64.71,74,16,5.21
38,Praia Da Vitoria,PT,2021-11-29 19:55:22,38.7333,-27.0667,59.25,88,75,5.01
39,Damghan,IR,2021-11-29 19:56:38,36.1683,54.348,46.29,54,7,1.95
40,Chara,RU,2021-11-29 19:56:39,56.9064,118.2631,-9.6,80,100,1.72
41,Arlit,NE,2021-11-29 19:56:39,18.7369,7.3853,78.8,13,13,8.75
42,Los Llanos De Aridane,ES,2021-11-29 19:56:39,28.6585,-17.9182,62.35,84,75,1.01
43,Jamestown,US,2021-11-29 19:56:40,42.097,-79.2353,35.1,80,88,5.99
44,Hithadhoo,MV,2021-11-29 19:55:34,-0.6,73.0833,81.05,80,37,14.9
45,Xuddur,SO,2021-11-29 19:56:40,4.1213,43.8894,78.58,34,95,10.0
46,Saskylakh,RU,2021-11-29 19:57:41,71.9167,114.0833,-23.53,100,93,4.16
47,Makakilo City,US,2021-11-29 19:57:41,21.3469,-158.0858,76.69,62,90,10.36
48,San Patricio,US,2021-11-29 19:57:40,28.017,-97.5169,72.07,41,9,3.24
49,Turukhansk,RU,2021-11-29 19:57:42,65.8167,87.9833,-0.13,96,100,17.25
50,Hobart,AU,2021-11-29 19:52:43,-42.8794,147.3294,55.11,89,20,3.0
51,Korla,CN,2021-11-29 19:57:42,41.7597,86.1469,23.34,73,7,5.14
52,Nago,JP,2021-11-29 19:57:42,26.5881,127.9761,72.45,76,75,14.72
53,Pochutla,MX,2021-11-29 19:57:43,15.7432,-96.4661,88.83,49,6,8.9
54,Pangai,TO,2021-11-29 19:57:43,-19.8,-174.35,80.71,57,20,13.8
55,Arraial Do Cabo,BR,2021-11-29 19:54:04,-22.9661,-42.0278,82.36,69,0,12.66
56,Thompson,CA,2021-11-29 19:57:44,55.7435,-97.8558,21.36,86,90,5.75
57,Lompoc,US,2021-11-29 19:57:44,34.6391,-120.4579,85.08,30,0,1.99
58,Carnarvon,AU,2021-11-29 19:55:31,-24.8667,113.6333,69.87,83,40,20.71
59,Husavik,IS,2021-11-29 19:57:45,66.0449,-17.3389,24.71,78,100,9.84
60,Riosucio,CO,2021-11-29 19:57:45,5.4216,-75.7032,70.23,88,100,2.68
61,Kidal,ML,2021-11-29 19:57:46,18.4411,1.4078,80.26,13,19,10.92
62,Leningradskiy,RU,2021-11-29 19:57:46,69.3833,178.4167,-20.54,96,75,9.13
63,Brae,GB,2021-11-29 19:57:46,60.3964,-1.353,40.91,67,61,29.06
64,Manado,ID,2021-11-29 19:57:47,1.487,124.8455,74.17,94,40,1.14
65,Sinnamary,GF,2021-11-29 19:57:47,5.3833,-52.95,81.19,80,100,8.63
66,Najran,SA,2021-11-29 19:57:47,17.4924,44.1277,61.45,47,0,2.75
67,Ust-Tsilma,RU,2021-11-29 19:57:48,65.441,52.1498,-11.38,100,58,2.1
68,Shahreza,IR,2021-11-29 19:57:48,32.0339,51.8794,49.53,50,17,1.61
69,Strezhevoy,RU,2021-11-29 19:57:48,60.7333,77.5889,24.78,92,100,11.86
70,Grand Gaube,MU,2021-11-29 19:57:49,-20.0064,57.6608,74.37,69,0,3.0
71,Jibuti,DJ,2021-11-29 19:56:30,11.5,42.5,73.83,55,24,10.27
72,Port-Gentil,GA,2021-11-29 19:57:49,-0.7193,8.7815,76.96,94,20,5.75
73,Kapaa,US,2021-11-29 19:57:50,22.0752,-159.319,78.12,79,6,5.01
74,Haines Junction,CA,2021-11-29 19:57:50,60.7522,-137.5108,-13.05,70,100,3.44
75,Porto Novo,BJ,2021-11-29 19:57:50,6.4965,2.6036,80.42,79,96,6.29
76,Jackson,US,2021-11-29 19:54:02,42.4165,-122.8345,56.44,100,90,5.75
77,Kloulklubed,PW,2021-11-29 19:57:51,7.0419,134.2556,83.77,73,100,7.07
78,Ahuimanu,US,2021-11-29 19:57:51,21.4447,-157.8378,77.86,66,50,19.84
79,Flinders,AU,2021-11-29 19:57:52,-34.5833,150.8552,65.21,88,83,1.01
80,Poum,NC,2021-11-29 19:57:52,-20.2333,164.0167,80.35,79,12,14.47
81,Kahului,US,2021-11-29 19:55:21,20.8947,-156.47,74.46,96,40,9.22
82,Nanortalik,GL,2021-11-29 19:57:53,60.1432,-45.2371,34.47,99,100,16.58
83,Castro,BR,2021-11-29 19:57:53,-24.7911,-50.0119,74.39,75,46,8.46
84,Butaritari,KI,2021-11-29 19:55:41,3.0707,172.7902,81.21,81,35,11.36
85,Yellowknife,CA,2021-11-29 19:57:28,62.456,-114.3525,-11.58,80,20,14.97
86,Leh,IN,2021-11-29 19:57:31,34.1667,77.5833,16.61,57,100,2.3
87,Walvis Bay,NA,2021-11-29 19:57:54,-22.9575,14.5053,60.1,88,0,8.05
88,East London,ZA,2021-11-29 19:57:54,-33.0153,27.9116,69.78,80,39,13.18
89,San Ignacio,BZ,2021-11-29 19:57:55,17.1561,-89.0714,86.14,58,40,4.61
