City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,nurota,UZ,60.82,scattered clouds,40.5614,65.6886,Guest House Ruslan Nurata & Tours
178,abha,SA,57.45,clear sky,18.2164,42.5053,Abha Hotel
179,salinopolis,BR,79.65,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
180,zhezkazgan,KZ,27.28,overcast clouds,47.8043,67.7144,Hotel Zumrat
182,le pradet,FR,41.63,clear sky,43.1066,6.0172,Hôtel Kyriad Toulon La Garde
184,primorsk,UA,46.36,scattered clouds,46.7348,36.3443,Relax
185,imbituba,BR,71.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
186,silvassa,IN,85.66,overcast clouds,20.2667,73.0167,Wonderland Resort
187,greensburg,US,35.62,clear sky,40.3015,-79.5389,Rodeway Inn
188,alta floresta,BR,69.66,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
189,clyde river,CA,1.63,overcast clouds,70.4692,-68.5914,Qamaq Hotel
190,aswan,EG,79.02,few clouds,24.0934,32.907,Nuba Nile
191,nguruka,TZ,72.3,light rain,-5.1092,31.0419,RUSULI LODGE
192,saint-leu,RE,83.23,clear sky,-21.15,55.2833,La Caz Oceane
193,mbour,SN,67.05,overcast clouds,14.422,-16.9638,Tama Lodge
194,monte carmelo,BR,67.41,overcast clouds,-18.7247,-47.4986,Park hotel
195,kutum,SD,71.2,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
196,mollendo,PE,64.98,overcast clouds,-17.0231,-72.0147,Hostal La Casa de Melgar
197,turayf,SA,55.65,clear sky,31.6725,38.6637,Turaif
198,sambava,MG,82.02,scattered clouds,-14.2667,50.1667,Melrose
199,george town,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
200,rocha,UY,63.14,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
201,ugoofaaru,MV,81.19,overcast clouds,5.6667,73.0,Ungoofaaru Inn
202,tsiroanomandidy,MG,80.38,clear sky,-18.7667,46.0333,Hotel du Bongolave
203,matadi,CD,76.75,light rain,-5.8167,13.45,Hotel Vivi Palace
204,feodosiya,UA,52.72,scattered clouds,45.0333,35.3833,Alye Parusa Hotel
206,raudeberg,NO,34.86,light snow,61.9875,5.1352,Nordre Silda.
207,kukmor,RU,34.02,snow,56.1855,50.8944,Guest house near Ski Resort
208,koungou,YT,83.91,light rain,-12.7336,45.2042,Villa Netibor
209,zaysan,KZ,19.6,scattered clouds,47.4667,84.8667,Ерлан үй
210,rockland,US,32.72,clear sky,41.1668,-74.0496,National Camp Association
211,san carlos del zulia,VE,73.58,overcast clouds,9.0,-71.9135,Hotel El Manantial
212,hobyo,SO,81.75,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
213,mehamn,NO,21.38,clear sky,71.0357,27.8492,Mehamn Arctic Hotel AS
214,olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
215,bubaque,GW,81.99,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
217,mitsamiouli,KM,82.09,light rain,-11.3847,43.2844,Foyer ADM
218,tadepallegudem,IN,84.54,overcast clouds,16.8333,81.5,Hotel Selection Grand
219,miraflores,MX,57.02,few clouds,19.2167,-98.8083,Hotel Mansión
220,puerto maldonado,PE,72.25,overcast clouds,-12.6,-69.1833,Wasai Hotel
221,cordoba,AR,61.59,clear sky,-31.4135,-64.1811,Hotel Sussex
222,cap malheureux,MU,84.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
223,saldanha,ZA,62.98,broken clouds,-33.0117,17.9442,Blue Bay Lodge
224,tinaquillo,VE,72.91,overcast clouds,9.9186,-68.3047,Hotel Los Copihues
226,grindavik,IS,34.27,moderate rain,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
227,phuntsholing,BT,76.39,broken clouds,26.8516,89.3884,Hotel White House
228,madingou,CG,73.6,overcast clouds,-4.1536,13.55,HOTEL KIM ELISA
229,takoradi,GH,78.4,scattered clouds,4.8845,-1.7554,Raybow International Hotel
230,saint-raymond,CA,25.92,broken clouds,45.467,-73.6095,Le Chabrol Hôtel et Suites
231,praia da vitoria,PT,57.45,broken clouds,38.7333,-27.0667,Hotel Branco I
232,tutayev,RU,38.68,light rain,57.8853,39.5406,Hotel Imperium
233,mwanza,TZ,75.13,overcast clouds,-2.5167,32.9,Gold Crest Hotel
234,vila do maio,CV,72.39,overcast clouds,15.1333,-23.2167,Hotel Marilu
235,atyrau,KZ,37.42,clear sky,47.1167,51.8833,River Palace Hotel
236,castro,BR,57.96,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
237,megion,RU,24.82,overcast clouds,61.0296,76.1136,Komfort Hotel
238,ayni,TJ,48.47,overcast clouds,39.3941,68.5377,Меҳмонхона СУҒД
239,el tigre,VE,72.99,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
240,ullapool,GB,43.75,light rain,57.8987,-5.1604,Argyll Hotel
241,carutapera,BR,77.79,scattered clouds,-1.195,-46.02,Lidera
242,saint-marc-des-carrieres,CA,22.21,broken clouds,46.6834,-72.0491,Larguer les samares
243,lipin bor,RU,25.83,light snow,60.2622,37.9763,Priozor'ye
244,port-gentil,GA,79.48,overcast clouds,-0.7193,8.7815,Fengshui Residence
246,ginda,IN,64.31,overcast clouds,30.6945,78.4932,Bal uma sankar hotel and restaurant
247,wadi musa,JO,69.66,scattered clouds,30.3222,35.4793,Petra Palace Hotel
250,korla,CN,30.07,clear sky,41.7597,86.1469,Gulisitan Hotel
251,sierpc,PL,27.81,broken clouds,52.8568,19.6691,"Bar ""MaxiM"" - Restauracja, Catering, Sale Bankietowe, Hotel"
252,huarmey,PE,65.82,overcast clouds,-10.0681,-78.1522,Hotel Miramar
253,bikaner,IN,74.77,overcast clouds,28.0167,73.3,Karina Guest House
255,tromso,NO,21.22,clear sky,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
256,vardo,NO,16.0,overcast clouds,70.3705,31.1107,Vardø Hotel AS
257,minsk,BY,28.15,snow,53.9,27.5667,Minsk Hotel
258,hala,PK,71.58,scattered clouds,25.8131,68.4227,أنصاري ديكوريشن إستاف
259,muros,ES,54.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
260,husavik,IS,22.91,overcast clouds,66.0449,-17.3389,Bjarnabúð
261,iquique,CL,64.44,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
263,san cristobal,VE,65.7,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
265,maragogi,BR,77.72,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
266,rincon,US,43.86,clear sky,32.296,-81.2354,Days Inn Rincon
268,madaras,HU,33.22,broken clouds,46.0587,19.2612,Heffler-tanya
269,boa vista,BR,78.78,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
271,caernarfon,GB,51.67,overcast clouds,53.1413,-4.2702,Taldrwst Farmhouse
272,cape girardeau,US,46.2,clear sky,37.3834,-89.7168,Independence Park Mobile Home Court
273,lulea,SE,6.87,few clouds,65.5842,22.1547,Comfort Hotel Arctic
274,matay,EG,74.23,broken clouds,28.419,30.7792,Nag Aespen
275,saint-francois,FR,31.68,overcast clouds,46.4154,3.9054,Manoir Du Bonheur
276,kharod,IN,76.84,broken clouds,21.75,82.5667,STARiHOTELS Sheorinarayan
278,vila velha,BR,78.75,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
279,muli,MV,82.65,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
280,hastings,GB,48.52,overcast clouds,50.8552,0.5729,Zanzibar Hotel
281,coshocton,US,35.78,light snow,40.272,-81.8596,Roscoe Motor Inn
282,kuzedeyevo,RU,28.35,overcast clouds,53.3308,87.2019,Lavochka
283,narasannapeta,IN,79.12,broken clouds,18.4167,84.05,G.lingaraju home
284,arauca,CO,71.74,broken clouds,7.0847,-70.7591,Hotel Verano Plaza
285,pishin,PK,59.32,clear sky,30.5803,66.9961,City Hotel Pishin
286,taltal,CL,60.22,few clouds,-25.4,-70.4833,Residencial Karime
287,touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
288,ustka,PL,35.69,broken clouds,54.5805,16.8619,Hotel Royal Baltic Luxury Boutique
289,ancud,CL,47.73,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
290,tandur,IN,81.5,overcast clouds,17.2333,77.5833,SPOT ON 63149 Swagath Residency
291,hovin,NO,23.95,snow,63.1055,10.225,"Horgøien Gård, laksefiske og overnatting"
292,karasjok,NO,14.11,overcast clouds,69.4719,25.5112,Karasjok camping AS
293,ilulissat,GL,25.9,overcast clouds,69.2167,-51.1,Hotel Arctic
294,galle,LK,82.29,broken clouds,6.0367,80.217,Amangalla
295,sterling,US,36.19,broken clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
296,padang,ID,82.45,broken clouds,-0.9492,100.3543,Mercure Padang
297,moyale,KE,74.57,broken clouds,3.5167,39.0584,La Tahzan Guest House
298,rawson,AR,59.94,clear sky,-43.3002,-65.1023,Hosteria Sampedro
299,vila franca do campo,PT,61.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
300,copenhagen,DK,37.06,shower rain,55.6759,12.5655,The Square
301,manali,IN,87.89,broken clouds,13.1667,80.2667,Sarathy Lodge
303,winchester,GB,50.68,light intensity drizzle,51.0651,-1.3187,"The Wykeham Arms, Winchester"
304,mayumba,GA,76.78,light rain,-3.432,10.6554,LIKWALE LODGE
305,jiwani,PK,76.6,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
306,atasu,KZ,22.48,overcast clouds,48.6814,71.6433,Dostyk
307,conceicao do araguaia,BR,72.46,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
308,kashi,CN,36.61,few clouds,39.4547,75.9797,帕米尔青年旅舍
309,ladnun,IN,74.53,overcast clouds,27.65,74.3833,Varsha Sanjay Sadan
310,torit,SS,82.65,overcast clouds,4.4133,32.5678,Diplomat Guest House
312,kedougou,SN,72.46,overcast clouds,12.5579,-12.1743,Relais de Kédougou
313,isla mujeres,MX,75.25,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
314,ponta delgada,PT,61.5,broken clouds,37.7333,-25.6667,Vila Nova Hotel
316,humberto de campos,BR,77.59,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
317,caravelas,BR,75.58,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
318,cayenne,GF,75.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
319,turukhansk,RU,8.04,light snow,65.8167,87.9833,"ООО ""Туруханская пушнина"""
320,oskemen,KZ,19.36,broken clouds,49.9565,82.6119,Dedeman Oskemen Tavros Hotel
321,kaura namoda,NG,67.87,broken clouds,12.5898,6.5779,Moonlight Hotel
323,socuellamos,ES,41.38,overcast clouds,39.2858,-2.7921,Hostal Genaro
325,bela vista,BR,64.15,broken clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
326,puerto baquerizo moreno,EC,68.56,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
327,nortelandia,BR,73.02,overcast clouds,-14.4547,-56.8028,Hotel Karysmã
328,cape canaveral,US,58.98,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
330,brewster,US,31.8,clear sky,41.3973,-73.6171,Heidi's Inn
331,les cayes,HT,74.12,broken clouds,18.2,-73.75,Villa Orphee
333,brae,GB,35.51,overcast clouds,60.3964,-1.353,Busta House Hotel
334,lambarene,GA,74.73,light rain,-0.7001,10.2406,Le Refuge
335,port blair,IN,84.7,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
336,colares,PT,52.9,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
337,kyzyl-suu,KG,32.49,clear sky,42.3414,78.0056,Gostinitsa Nur-Ordo
338,anloga,GH,81.09,few clouds,5.7947,0.8973,Pin Drop Hotel
339,chardara,KZ,54.54,overcast clouds,41.2547,67.9692,Жанаргул
340,dosso,NE,69.8,broken clouds,13.049,3.1937,Hotel Toubal
341,mecca,SA,82.89,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
343,paratinga,BR,68.94,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
344,riyadh,SA,71.65,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
345,banda aceh,ID,75.74,light rain,5.5577,95.3222,Sulthan Hotel International
346,oktyabrskoye,RU,53.35,overcast clouds,43.0645,44.7417,Prolesok Mini-hotel
347,krasnyy yar,RU,48.13,overcast clouds,46.5331,48.3456,Cottege near Ufa
349,aasiaat,GL,31.12,overcast clouds,68.7098,-52.8699,Hotel Aasiaat Sømandshjem
350,acarau,BR,81.32,scattered clouds,-2.8856,-40.12,castelo pizzaria
351,sinnamary,GF,77.36,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
352,bethlehem,BR,75.24,clear sky,-1.4558,-48.5044,Mercure Belém Boulevard Hotel
353,shelburne,CA,27.39,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
356,ranipur,PK,71.65,clear sky,27.2879,68.5051,Dr. Kadir Bakhsh Memon House
357,jalgaon,IN,76.68,overcast clouds,21.0167,75.5667,Hotel Plaza (BOOKING FOR FOREIGN TOURIST ONLY)
358,andenes,NO,26.58,clear sky,69.3143,16.1194,Hotell Marena
359,itarema,BR,81.54,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
360,west warwick,US,30.33,clear sky,41.6969,-71.5219,SpringHill Suites by Marriott Providence West Warwick
361,gora kalwaria,PL,35.37,overcast clouds,51.9765,21.2154,Hotel Podzamcze
362,san andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
363,itaueira,BR,72.46,overcast clouds,-7.6033,-43.0256,Pousada e Restaurante Cheiro e Sabor
364,briancon,FR,24.62,scattered clouds,44.9,6.65,Auberge de la Paix
365,filadelfia,US,33.98,few clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
366,willowmore,ZA,62.11,few clouds,-33.2926,23.4895,Jumper's Place
367,volchansk,RU,30.25,snow,59.9378,60.081,U Mikhalycha
368,port-cartier,CA,26.82,overcast clouds,50.0334,-66.8654,Le Q'Artier
369,surgut,RU,26.78,light shower snow,61.25,73.4167,Business Hotel
370,mantua,IT,38.44,clear sky,45.1667,10.7833,Hotel la Favorita
